name,brand,model,version,nbDoor,nbSeats,turningCircle,turningRadius,length,width,widthWSideMirror,height,wheelbase,wheelTrackFront,trackWidthRear,Clearance,luggageCapacity,luggageMin
Lexus SC I,lexus,sc,i,2,4,4850 mm,1790 mm,1330 mm,2690 mm,1525 mm,1550 mm,973 mm,917 mm,1422 mm,1339 mm,1825 mm,1490 mm
Peugeot RCZ 2012,peugeot,rcz,coupe,2,4,4287 mm,1845 mm,2107 mm,1362 mm,2596 mm,412 mm,637 mm,898 mm,865 mm,496 mm,583 mm,730 mm
Mazda MX-5 II 1.6 16V 110KM 2002,mazda,mx-5,ii,2,2,3955 mm,1680 mm,1220 mm,2265 mm,1415 mm,1440 mm,130 mm,900 mm,510 mm,1025 mm,145 l,145 l
Peugeot RCZ 2012,peugeot,rcz,coupe-facelifting,2,4,11.5 m,5.8 m,4287 mm,1845 mm,2107 mm,1359 mm,2612 mm,111 mm,412 mm,637 mm,898 mm,496 mm
Lexus SC II 430 286KM 2005,sc,ii,silnik-benzynowy-430-286km-2001-2010,2,4,4515 mm,1825 mm,1350 mm,2620 mm,1550 mm,1535 mm,450 l,135 l,od 2001 do 2010 roku,4293 cm³,benzynowy,286 
ZAZ Tavria Sedan,zaz,tavria,sedan,3,5,3860 mm,1578 mm,1782 mm,1425 mm,1950 mm,2320 mm,1314 mm,1306 mm,905 mm,160 mm,630 l,250 l
ZAZ Tavria Hatchback,zaz,tavria,hatchback,3,5,3708 mm,1554 mm,1410 mm,2320 mm,1314 mm,1290 mm,687 mm,710 mm,370 mm,960 mm,630 l,250 l
Mini Paceman Hatchback 3d Facelifting,mini,paceman,hatchback-3d-facelifting,3,5,4109 mm,1786 mm,1996 mm,1518 mm,2596 mm,1538 mm,1566 mm,764 mm,749 mm,1080 l,330 l,470 kg
Mini Paceman Hatchback 3d,mini,paceman,hatchback-3d,3,4,4115 mm,1786 mm,1996 mm,1522 mm,2596 mm,1525 mm,1551 mm,769 mm,750 mm,993 mm,941 mm,1390 mm
Hyundai Veloster Coupe Turbo 1.6 T-GDI 186KM 2013,veloster,coupe,silnik-benzynowy-1.6-gdi-140km-2011-2014,4,5,10.5 m,5.2 m,4220 mm,1790 mm,1399 mm,2650 mm,1561 mm,1574 mm,830 mm,740 mm,143 mm,1114 mm
Hyundai Veloster Coupe Turbo 1.6 T-GDI 186KM 2013,veloster,coupe-turbo,silnik-benzynowy-1.6-t-gdi-186km-2013-2014,3,5,4250 mm,1805 mm,1399 mm,2650 mm,1557 mm,1570 mm,153 mm,1114 mm,945 mm,805 mm,896 mm,1412 mm
Mini Mini R50 1.6 S 163KM 2004,mini,mini,r50,3,4,10.8 m,5.4 m,3597 mm,1688 mm,1918 mm,1390 mm,2464 mm,1441 mm,1460 mm,622 mm,511 mm,143 mm
Mini One I,mini,one,i,3,4,3626 mm,1688 mm,1925 mm,1413 mm,2467 mm,1460 mm,1466 mm,622 mm,537 mm,985 mm,955 mm,1239 mm
Jaguar XJ8 II,jaguar,xj8,ii,4,5,11.7 m,5090 mm,1860 mm,1448 mm,3034 mm,1556 mm,1546 mm,975 mm,980 mm,1480 mm,1480 mm,470 l
Jaguar XJ8 I,jaguar,xj8,i,4,5,12.1 m,5024 mm,1799 mm,1314 mm,2870 mm,1500 mm,1498 mm,985 mm,923 mm,1456 mm,1456 mm,370 l
Jaguar XJ III,jaguar,xj,iii,4,5,13.5 m,4959 mm,1770 mm,1377 mm,2865 mm,1480 mm,1496 mm,178 mm,991 mm,914 mm,1378 mm,1364 mm
Jaguar XJ VI X308,jaguar,xj,vi-x308,4,5,5149 mm,1799 mm,1333 mm,2995 mm,1500 mm,1498 mm,1047 mm,945 mm,938 mm,1456 mm,1456 mm,430 l
Jaguar XJ IV,jaguar,xj,iv,4,5,12.4 m,4988 mm,1798 mm,1380 mm,2870 mm,1500 mm,1498 mm,930 mm,935 mm,1460 mm,1463 mm,430 l
Jaguar XJ V,jaguar,xj,v,4,5,12.1 m,5149 mm,1799 mm,1333 mm,2995 mm,1500 mm,1498 mm,116 mm,1047 mm,945 mm,1982 mm,933 mm
Jaguar XJR I,jaguar,xjr,i,4,5,12.1 m,5024 mm,1799 mm,1303 mm,2870 mm,1500 mm,1498 mm,116 mm,985 mm,923 mm,1456 mm,1456 mm
Jaguar XJS I 5.3 289KM 213kW 1975-1980,xjs,i,silnik-benzynowy-5.3-289km-1975-1980,2,11.9 m,4870 mm,1793 mm,1261 mm,2591 mm,1473 mm,1488 mm,140 mm,940 mm,864 mm,1410 mm,1321 mm,430 l
Jaguar XJR II,jaguar,xjr,ii,4,5,12.1 m,5024 mm,1799 mm,1303 mm,2870 mm,1500 mm,1498 mm,985 mm,923 mm,1456 mm,1456 mm,360 l
Jaguar XJR III 4.2 396KM 291kW 2003-2009,xjr,iii,silnik-benzynowy-4.2-396km-2003-2009,4,5,11.7 m,5090 mm,1860 mm,1448 mm,3034 mm,1556 mm,1546 mm,975 mm,980 mm,1480 mm,1480 mm,470 l
Jaguar XE Sedan Facelifting,jaguar,xe,sedan-facelifting,4,5,11.2 m,5.6 m,4678 mm,1967 mm,2075 mm,1967 mm,1416 mm,2835 mm,1602 mm,1585 mm,125 mm,410 l
Jaguar F-Pace SUV 2.0 i4D 180KM 2016,jaguar,f-pace,suv,5,5,11.6 m,5.8 m,4731 mm,2175 mm,1652 mm,2874 mm,1641 mm,1654 mm,834 mm,1023 mm,213 mm,213 mm
Jaguar X-Type Sedan,jaguar,x-type,sedan,4,5,4672 mm,1789 mm,2002 mm,1392 mm,2710 mm,1522 mm,1537 mm,1076 mm,947 mm,953 mm,1384 mm,1363 mm
Jaguar X-Type Kombi,jaguar,x-type,kombi,5,5,4716 mm,1789 mm,2003 mm,1483 mm,2710 mm,1522 mm,1537 mm,902 mm,1104 mm,962 mm,988 mm,1384 mm
Porsche 968 Cabrio 3.0 i 16V 240KM 177kW 1991-1995,968,cabrio,silnik-benzynowy-3.0-i-16v-240km-1991-1995,2,2,4320 mm,1735 mm,1275 mm,2400 mm,1471 mm,1448 mm,510 l,225 l,od 1991 do 1995 roku,2990 cm³,benzynowy,240 
